name,T1,Period,Perioderror,incl,inclerror,q,qerror,f,ferror,t2t1,t2t1error,relteff,reltefferror,colat,colaterror,long,longerror,radius,radiuserror,l2/l1,r1,r2,R2,sma,smaerror,M1,M1error,M2,M2error,R1,R1error,R2,R2error, L1,L1error,L2,L2error
TIC 279156705,6923,0.72269,0.00083,82.04547,1.06809,0.1552,0.0044,0.70494,0.08654,0.99703,0.01272,0.84011,0.05323,38.16463,67.37283,-252.50007,21.24078,20.75802,7.90872,0.20587,0.57198,0.26584,0.9931,4.58584,0.09986,2.51124,0.53023,0.38974,0.08229,3.46929,0.41325,1.61243,0.19207,30.32986,16.00773,6.24401,3.29551
TIC 279224984,6011,1.06468,0.00017,82.47246,1.01603,0.1591,0.00543,0.18634,0.04106,0.95484,0.01127,0.72962,0.07779,55.59578,12.82494,-3.23586,3.43506,15.02166,2.15567,0.16616,0.54975,0.24334,0.9979,6.53002,0.13522,2.89597,0.56406,0.46075,0.08974,3.76827,0.29591,1.66798,0.13098,11.64056,8.05602,1.9342,1.33859
TIC 199612934,7092,0.60141,0.00014,81.50139,0.95048,0.09073,0.00219,0.37772,0.06274,0.9605,0.01195,0.79646,0.1139,141.98315,30.90633,-355.89756,18.12306,12.37933,11.80565,0.10999,0.59785,0.21231,0.9989,3.89412,0.08761,1.10009,0.34108,0.09981,0.03095,2.73545,0.12768,0.97142,0.04534,17.98244,5.87706,1.97789,0.64642
TIC 204325855,6524,0.48451,8e-05,77.23347,0.10422,0.24546,0.00141,0.04883,0.00613,0.99726,0.00093,0.73121,0.11121,1.15646,3.00468,-130.83154,75.88632,2.441,4.64603,0.27663,0.50791,0.26803,0.9993,3.23137,0.07802,1.56603,0.50857,0.3844,0.12483,1.59458,0.10475,0.84148,0.05528,4.22426,1.38296,1.16856,0.38257
TIC 211412634,6496,0.75302,0.00019,79.80048,2.03869,0.17463,0.00729,0.19077,0.11073,0.94921,0.01225,0.86289,0.12168,100.08995,70.73756,-125.50342,116.4074,7.21067,6.85049,0.17701,0.54251,0.25025,0.9958,4.75988,0.10419,2.53577,0.48858,0.44282,0.08532,2.63291,0.08184,1.21451,0.03775,14.34725,2.27254,2.53961,0.40226
TIC 219738202,6904,0.57879,0.0001,79.61798,2.80256,0.26537,0.02405,0.5387,0.15804,0.97186,0.0499,0.81243,0.12173,53.98545,42.60045,-172.77382,19.72091,21.05143,9.07036,0.29418,0.52717,0.30323,0.9908,3.76843,0.0866,2.52473,0.38777,0.66999,0.1029,1.56792,0.19004,0.90187,0.10931,1.66078,2.39871,0.48857,0.70565
TIC 233233639,7213,0.44051,0.0001,80.84404,0.90927,0.10707,0.00177,0.17726,0.04191,0.91776,0.00784,0.80691,0.05006,164.83848,4.70788,-336.61059,3.39839,43.03443,5.79451,0.10581,0.58014,0.21604,0.9977,2.98047,0.07444,1.88526,0.47856,0.20186,0.05124,1.77936,0.14355,0.66262,0.05346,14.382,5.43434,1.52176,0.57501
TIC 233636431,6896,0.42726,9e-05,83.45809,0.30997,0.24372,0.00185,0.24887,0.0148,0.99724,0.00297,0.7671,0.09041,165.68663,62.43732,-301.03891,20.15331,21.01855,15.7694,0.28401,0.51834,0.2787,0.9989,2.90544,0.07284,1.21253,0.29941,0.29552,0.07297,1.78234,0.21269,0.95833,0.11436,3.29136,2.36116,0.93478,0.67059
TIC 237130278,7080,0.41314,7e-05,76.49042,0.23408,0.14451,0.00111,0.51165,0.02127,0.99726,0.00365,0.8489,0.1318,151.98695,21.96489,-338.48824,41.93553,7.1377,5.93437,0.1877,0.5693,0.25089,0.9952,2.82575,0.07141,1.4845,0.36923,0.21453,0.05336,1.45239,0.0991,0.64007,0.04367,3.63651,1.13158,0.68257,0.2124
TIC 240911239,5760,0.41255,9e-05,83.09199,0.46088,0.25227,0.00277,0.27285,0.01948,1.00614,0.00264,0.87479,0.1269,148.38086,28.24224,-275.66777,155.12516,9.54873,7.99119,0.30305,0.51679,0.28284,0.9874,2.82251,0.0717,1.21947,0.32508,0.30764,0.08201,1.72773,0.12158,0.94559,0.06654,4.96634,1.77821,1.50505,0.53889
TIC 250114673,6200,0.32881,8e-05,72.26498,0.12937,0.0929,0.0006,0.49664,0.01808,1.00862,0.00162,0.79038,0.03571,132.9311,7.89576,-53.38821,2.88187,16.72963,3.44097,0.1325,0.59948,0.21803,0.9991,2.34665,0.06565,1.78723,0.30579,0.16603,0.02841,1.51038,0.30939,0.54932,0.11253,33.90256,24.56894,4.49209,3.25538
TIC 250203533,5733,0.37458,0.00012,80.94147,0.1573,0.16683,0.00061,0.43832,0.00901,1.02768,0.00158,0.69428,0.07259,169.86387,2.24566,-172.97043,3.29085,26.10085,1.83911,0.23276,0.55607,0.25865,0.9995,2.60691,0.06858,1.56846,0.18324,0.26167,0.03057,1.33461,0.07743,0.62078,0.03601,1.09131,0.86937,0.25401,0.20235
TIC 255682622,6103,0.32159,0.00018,77.94336,1.06783,0.0816,0.00315,0.67447,0.07542,1.07979,0.00612,0.93701,0.02964,106.36774,4.50672,-291.93802,2.44121,25.37954,6.5837,0.15215,0.61279,0.2152,0.9931,2.30527,0.06563,1.03634,0.19187,0.08457,0.01566,1.69594,0.11485,0.59558,0.04033,3.09469,1.31803,0.47086,0.20054
TIC 256797617,4934,0.25073,5e-05,88.72113,0.99722,0.30253,0.00806,0.32878,0.04623,1.03287,0.01096,0.6503,0.04927,10.74621,5.58816,-1.70613,1.81872,45.23594,5.60923,0.38823,0.50543,0.30135,0.9939,1.90078,0.06037,1.76719,0.81066,0.53463,0.24525,0.87523,0.11086,0.52183,0.06609,0.31737,0.24642,0.12321,0.09567
TIC 257525627,6563,0.45664,0.00011,79.307,0.35558,0.19651,0.00173,0.59895,0.01998,1.00738,0.00293,0.83884,0.13454,27.31805,32.04803,-38.59579,152.79172,4.75551,4.68922,0.25574,0.5514,0.28035,0.9878,3.07287,0.07518,1.03596,0.27882,0.20358,0.05479,1.46774,0.15019,0.74625,0.07636,6.01864,3.6231,1.53921,0.92657
TIC 14545690,5883,0.28008,5e-05,70.96418,0.48451,0.0801,0.00397,0.40666,0.05789,1.10578,0.014,0.82245,0.02761,77.78307,4.37905,-353.60104,0.87568,17.25068,1.4426,0.15468,0.60719,0.20516,0.9858,2.06904,0.06222,0.67299,0.50951,0.05391,0.04081,1.38936,0.11578,0.46944,0.03912,0.79306,0.8905,0.12267,0.13774
TIC 146520491,6484,0.44865,0.00011,75.15694,0.14091,0.13501,0.00133,0.32988,0.01582,1.00108,0.00293,0.69119,0.07606,118.20773,12.44302,-317.66657,7.61877,7.59219,1.80962,0.17369,0.56763,0.23787,0.9968,3.02635,0.07446,2.80126,0.98241,0.3782,0.13264,1.35954,0.17786,0.56972,0.07453,13.17529,6.16067,2.28842,1.07005
TIC 151233402,6604,0.80832,0.00025,80.32004,0.19717,0.29642,0.00201,0.54311,0.01841,0.97298,0.00516,0.92011,0.03776,87.10945,14.83265,-177.50711,3.65434,20.6558,4.09496,0.32408,0.51954,0.31359,0.9866,5.07371,0.10895,2.36426,0.31708,0.70082,0.09399,2.57654,0.12534,1.55518,0.07565,7.78793,2.54511,2.52391,0.82482
TIC 156379866,6977,0.40684,0.00012,76.96742,0.40566,0.14267,0.00269,0.54342,0.03211,0.998,0.00416,0.93348,0.07365,7.98705,14.25301,-277.87955,90.17704,14.21212,14.57456,0.18718,0.57139,0.25133,0.982,2.79014,0.07141,0.8767,0.27431,0.12508,0.03914,1.31442,0.24104,0.57816,0.10602,21.44117,12.65042,4.01336,2.36791
TIC 157175641,6138,0.37018,0.00021,83.57512,0.08477,0.31864,0.00068,0.2181,0.00772,1.02745,0.00112,0.86236,0.02687,30.81107,15.25906,-177.83305,2.60731,18.37076,4.26996,0.39586,0.49486,0.29862,0.9992,2.58081,0.06823,0.89988,0.15764,0.28674,0.05023,1.38841,0.13124,0.83783,0.0792,5.48679,4.04864,2.172,1.60269
TIC 159102550,6974,0.48823,9e-05,78.5574,0.3335,0.2204,0.00278,0.14287,0.0174,0.95635,0.0074,0.8051,0.06607,72.64296,17.58978,-338.6344,9.09068,9.87154,1.1661,0.22469,0.52147,0.26508,0.9996,3.25245,0.0772,2.45593,1.12546,0.54129,0.24805,1.44748,0.18028,0.7358,0.09164,3.17364,2.35616,0.71309,0.52941
TIC 164720673,6294,0.36611,0.0001,77.22363,1.19697,0.12071,0.00372,0.5648,0.11042,1.04586,0.00652,0.92754,0.04082,148.13214,80.2627,-290.35977,96.72841,29.07891,9.80184,0.18868,0.58371,0.23946,0.9891,2.55783,0.06779,1.24192,0.4052,0.14991,0.04891,1.75348,0.17024,0.71934,0.06984,1.27278,1.73339,0.24015,0.32706
TIC 170676440,6907,0.63441,0.00012,85.53269,3.36881,0.22929,0.00773,0.28859,0.19957,0.86965,0.03839,0.79635,0.10765,61.13107,21.33448,-311.26632,60.82149,23.57634,11.97237,0.16656,0.52517,0.27606,0.9981,4.08315,0.09151,1.55641,0.5699,0.35687,0.13067,2.073,0.17769,1.08969,0.09341,3.17725,2.20051,0.5292,0.36652
TIC 17563811,6277,0.36101,0.00018,82.22389,0.90444,0.09941,0.00185,0.63754,0.0551,1.03672,0.00889,0.81423,0.11651,29.02228,67.7615,-112.94729,112.06976,12.44088,8.8693,0.15714,0.59902,0.22795,0.988,2.52926,0.06826,2.49956,0.4637,0.24848,0.0461,1.5538,0.07783,0.59128,0.02962,2.90376,0.91581,0.4563,0.14391
TIC 177258700,7146,0.68813,0.00013,82.49063,0.2722,0.25335,0.00122,0.4698,0.01832,0.96162,0.00338,0.89151,0.03092,151.05518,23.24059,-202.52414,4.03355,33.35093,11.44295,0.27304,0.52677,0.29486,0.9882,4.39015,0.09764,2.02745,0.28589,0.51365,0.07243,2.35498,0.13785,1.3182,0.07716,10.6466,2.84613,2.90695,0.77711
TIC 193819456,5938,0.35009,8e-05,76.61423,0.3124,0.14731,0.00178,0.41878,0.02609,1.01257,0.00277,0.82806,0.09687,133.85416,17.82046,-316.669,6.81008,15.86944,5.36873,0.19857,0.56442,0.24817,0.9874,2.46808,0.06672,1.68215,0.56764,0.2478,0.08362,1.67331,0.12066,0.73574,0.05305,2.75199,0.94359,0.54646,0.18737
TIC 193823999,6591,0.36979,0.00012,85.60922,1.04073,0.22347,0.00194,0.275,0.02199,1.02322,0.0028,0.7079,0.09625,116.17539,21.96123,-88.65684,6.10533,9.73304,2.58468,0.28624,0.52655,0.27327,0.9976,2.57948,0.06856,3.14512,0.63767,0.70284,0.1425,1.73306,0.22227,0.89942,0.11536,0.74624,0.98335,0.2136,0.28148
TIC 458490358,6529,0.38081,0.00015,79.20255,0.37109,0.17814,0.00249,0.49519,0.02712,1.0198,0.0071,0.8898,0.06671,160.96261,18.23766,-322.55583,9.06303,42.50257,5.80883,0.24103,0.55369,0.26668,0.9938,2.64145,0.06934,3.21302,1.04081,0.57237,0.18541,1.03048,0.29151,0.49632,0.1404,12.19616,6.99759,2.93964,1.68663
TIC 47751440,6692,0.79804,0.00012,84.07804,3.90747,0.11197,0.0073,0.20144,0.13484,0.85655,0.01966,0.86066,0.04818,29.21663,40.28569,-342.48033,171.08036,32.46187,2.17658,0.08688,0.57749,0.21986,0.9948,5.01607,0.10851,3.33517,0.46379,0.37344,0.05193,2.62789,0.37312,1.00048,0.14205,24.59488,8.09266,2.1368,0.70309
TIC 49214115,6904,0.9009,0.00016,79.81636,0.4481,0.16355,0.00225,0.65875,0.03698,1.00471,0.00316,0.92629,0.05307,50.53351,35.51989,-281.10193,9.77994,15.84072,5.44846,0.21824,0.56658,0.26791,0.9891,5.59929,0.11773,3.27732,0.61552,0.53601,0.10067,3.10007,0.15468,1.46588,0.07314,5.32045,4.2481,1.16113,0.9271
TIC 53603189,6415,0.41863,0.00028,83.31626,0.30133,0.14225,0.0008,0.66363,0.01304,1.02886,0.00174,0.60815,0.08169,87.20506,7.83192,-75.4407,2.95075,5.66681,1.07469,0.20993,0.57614,0.25664,0.9988,2.85742,0.07263,2.15759,0.60982,0.30692,0.08675,1.67211,0.12399,0.74484,0.05523,3.58684,0.97485,0.75299,0.20465
TIC 55007847,7596,0.61176,0.00069,77.12542,0.46452,0.0856,0.00111,0.4426,0.0414,0.94422,0.00621,0.78815,0.06589,13.9302,4.79542,-208.03063,4.27657,17.95087,4.49041,0.10136,0.60359,0.21066,0.9987,3.95525,0.0893,2.5779,0.33334,0.22067,0.02853,2.90898,0.41097,1.01527,0.14343,57.15358,41.58187,5.79309,4.21474
TIC 55753802,6610,0.41547,0.00024,78.9768,0.45521,0.19773,0.00437,0.50955,0.04193,1.00588,0.00741,0.95793,0.05356,126.86213,64.12458,-322.84073,7.929,32.44164,5.42984,0.25264,0.54681,0.27602,0.9997,2.83732,0.07212,1.20361,0.29295,0.23799,0.05793,2.05144,0.22679,1.03553,0.11448,1.53257,1.5342,0.38719,0.3876
TIC 56001210,6177,0.37885,8e-05,85.25913,0.7933,0.22693,0.00238,0.27061,0.02204,1.02628,0.00276,0.92753,0.05839,18.81948,15.28194,-265.67383,13.04373,22.98912,9.53937,0.29349,0.52512,0.27424,0.9995,2.63126,0.06849,0.81712,0.18836,0.18543,0.04275,1.53538,0.16435,0.80184,0.08583,5.4287,2.14566,1.59327,0.62973
TIC 5674169,5874,0.31813,0.00011,84.75729,0.77147,0.19868,0.00272,0.47317,0.03089,1.02956,0.00296,0.78431,0.09746,123.67787,23.84774,-63.66483,6.86235,13.41016,5.57115,0.27344,0.54479,0.27446,0.9819,2.28596,0.06458,2.65143,1.0148,0.52679,0.20162,1.50192,0.17272,0.75665,0.08701,0.81538,0.80392,0.22296,0.21982
TIC 57297550,7038,0.38217,0.00022,81.82466,11.44067,0.06889,0.11371,0.93087,0.22719,1.02327,0.08569,0.86055,0.0494,130.13612,33.27565,-179.86061,2.90911,19.59396,2.64229,0.11605,0.62941,0.21196,0.9969,2.64903,0.06902,2.43286,0.66954,0.1676,0.04612,1.31793,0.23254,0.44383,0.07831,1.52456,1.99813,0.17692,0.23188
TIC 627436,7664,0.57877,0.00012,83.87242,0.52108,0.25008,0.00202,0.56343,0.02569,0.976,0.00593,0.86244,0.06585,39.58124,16.53754,-220.67241,7.41393,17.51126,4.76287,0.28768,0.53274,0.29945,0.9988,3.76621,0.08582,4.67176,2.30089,1.16831,0.57541,2.52859,0.28809,1.4213,0.16193,69.57969,31.7823,20.01668,9.14313
TIC 63307143,7148,0.64526,0.00017,78.18467,0.22954,0.15366,0.00091,0.27786,0.0161,0.97069,0.00329,0.84675,0.05312,19.61891,5.67159,-140.31847,2.61864,19.80909,3.92816,0.17585,0.55594,0.24496,0.9822,4.14473,0.09197,3.46233,0.82353,0.53202,0.12654,2.28323,0.19876,1.00604,0.08758,12.30419,5.2074,2.16369,0.91572
TIC 63597006,6613,0.70076,0.00079,77.55781,0.14215,0.14155,0.00058,0.14487,0.00867,0.96652,0.00151,0.95352,0.02148,89.42499,17.81428,-117.18856,3.62144,11.55927,3.42121,0.15675,0.5575,0.23335,0.9981,4.46179,0.09801,2.41974,0.24671,0.34251,0.03492,2.07705,0.31133,0.86938,0.13031,4.66428,2.67114,0.73113,0.4187
TIC 66473439,6694,0.48656,0.00012,75.10925,0.13301,0.0913,0.00183,0.18392,0.02879,0.93002,0.00682,0.79496,0.07251,74.04812,6.50814,-321.33627,4.76494,9.87003,1.41541,0.09574,0.59219,0.20615,0.9893,3.2435,0.07811,2.16202,0.26363,0.19739,0.02407,2.15579,0.28462,0.75046,0.09908,16.3454,6.68469,1.56491,0.63999
TIC 671564,5607,0.38573,0.00018,81.63704,0.44327,0.16031,0.0025,0.66816,0.03098,1.0548,0.00641,0.85951,0.05997,164.8467,5.92571,-98.89298,90.24178,39.33092,17.51388,0.25651,0.56832,0.26671,0.9949,2.66902,0.06928,1.06936,0.27727,0.17143,0.04445,1.30759,0.16678,0.61365,0.07827,2.32476,0.79087,0.59633,0.20286
TIC 69838619,6984,0.38346,7e-05,82.72547,1.64592,0.10592,0.00415,0.80218,0.09723,1.00949,0.00863,0.91496,0.09686,24.90822,79.06721,-171.14681,83.03775,16.36617,15.7841,0.15677,0.60001,0.23926,0.998,2.65658,0.06878,2.09978,0.40263,0.22241,0.04265,1.8499,0.22473,0.73767,0.08961,7.48773,4.19198,1.17385,0.65718
TIC 76305215,6469,0.40159,0.00013,85.11644,0.36903,0.26514,0.00311,0.14348,0.00955,0.98859,0.00375,0.73259,0.09804,177.51619,4.00674,-54.42125,111.3321,20.19852,9.59902,0.29263,0.50607,0.27928,0.9874,2.75961,0.07172,1.35001,0.55235,0.35794,0.14645,1.85369,0.3488,1.02298,0.19249,16.50909,14.83399,4.83106,4.34087
TIC 77178193,6787,0.82929,0.00014,78.77008,10.30108,0.07488,0.07646,0.47487,0.08779,1.00003,0.05263,0.73302,0.08726,28.12939,16.3114,-353.50117,36.45857,9.18316,5.92155,0.10739,0.61337,0.20298,0.9957,5.19301,0.11065,3.77672,0.73098,0.2828,0.05474,2.90181,0.28691,0.96028,0.09495,4.57708,4.69584,0.49153,0.50429
TIC 87751538,7165,0.9148,0.00016,73.48361,0.60668,0.10582,0.00209,0.53322,0.02471,0.95588,0.01558,0.76695,0.0576,158.04042,42.48153,-265.97914,4.20885,36.39769,10.31151,0.12503,0.59169,0.22852,0.9782,5.67991,0.11921,4.25132,0.52991,0.44987,0.05608,2.80045,0.33673,1.08158,0.13005,14.2457,8.9569,1.78114,1.11988
TIC 89428764,6541,0.3765,0.0001,76.43918,0.25727,0.13559,0.0014,0.31849,0.02235,0.99479,0.00219,0.82108,0.12276,161.9674,17.23556,-22.45862,102.11301,6.96758,7.2108,0.17064,0.56692,0.23769,0.9994,2.61739,0.06895,2.1252,0.5656,0.28816,0.07669,0.83586,0.31201,0.35045,0.13082,1.33657,1.93948,0.22807,0.33095
TIC 8989778,8165,0.61243,0.00037,75.15853,2.10505,0.17818,0.02954,0.38609,0.03159,0.95786,0.00679,0.89923,0.06699,128.33556,35.23031,-245.38486,111.87959,25.37719,5.06485,0.19267,0.54902,0.26124,0.988,3.95877,0.08819,2.16356,0.25048,0.3855,0.04463,1.52524,0.48084,0.72575,0.2288,52.39177,30.88828,10.09432,5.95124
TIC 93053299,5954,0.41125,0.0001,76.7059,0.49377,0.12639,0.00219,0.52455,0.0421,1.01952,0.00308,0.81654,0.13793,101.73177,59.78654,-81.7312,60.91189,5.2027,4.20154,0.18075,0.57917,0.24123,0.997,2.81596,0.07229,2.27443,0.45212,0.28746,0.05714,1.50932,0.11999,0.62865,0.04998,5.63669,1.74013,1.01883,0.31453
TIC 97328396,5935,0.4852,0.00012,86.34404,0.46941,0.29085,0.00184,0.50235,0.01021,1.01575,0.00183,0.8383,0.06084,42.04931,17.82908,-298.16003,6.99628,12.03159,3.16058,0.36415,0.51849,0.30915,0.9932,3.23616,0.07766,1.67485,0.58984,0.48713,0.17155,1.81073,0.1021,1.07965,0.06088,8.54393,3.89913,3.11127,1.41987
