name,T1,Period,Perioderror,incl,inclerror,q,qerror,f,ferror,t2t1,t2t1error,relteff,reltefferror,colat,colaterror,long,longerror,radius,radiuserror,r1,r2,R^2,sma,smaerror,M1,M1error,M2,M2error,R1,R1error,R2,R2error,L1,L1error,L2,L2error
TIC 279156705,6923,0.72269,0.00083,82.04547,1.06809,0.1552,0.0044,0.70494,0.08654,0.99703,0.01272,0.84011,0.05323,38.16463,67.37283,-252.50007,21.24078,20.75802,7.90872,0.57198,0.26584,0.9931,4.56271,0.06952,2.02064,0.06831,0.3136,0.0106,2.65451,0.02499,1.23374,0.01161,14.06143,0.14927,2.88694,0.02966
TIC 279224984,6011,1.06468,0.00017,82.47246,1.01603,0.1591,0.00543,0.18634,0.04106,0.95484,0.01127,0.72962,0.07779,55.59578,12.82494,-3.23586,3.43506,15.02166,2.15567,0.54975,0.24334,0.9979,6.47319,0.16545,2.81343,0.15865,0.44762,0.02524,3.54711,0.03251,1.57008,0.01439,13.95673,0.32951,2.34621,0.02884
TIC 199612934,7092,0.60141,0.00014,81.50139,0.95048,0.09073,0.00219,0.37772,0.06274,0.9605,0.01195,0.79646,0.1139,141.98315,30.90633,-355.89756,18.12306,12.37933,11.80565,0.59785,0.21231,0.9989,3.89748,0.04474,1.9963,0.01714,0.18112,0.00156,2.34099,0.01457,0.83134,0.00517,12.16766,0.18082,1.28509,0.01487
TIC 204325855,6524,0.48451,8.00E-05,77.23347,0.10422,0.24546,0.00141,0.04883,0.00613,0.99726,0.00093,0.73121,0.11121,1.15646,3.00468,-130.83154,75.88632,2.441,4.64603,0.50791,0.26803,0.9993,3.25625,0.0324,1.40656,0.04644,0.34525,0.0114,1.62809,0.01314,0.85916,0.00693,4.27766,0.02768,1.19369,0.02243
TIC 211412634,6496,0.75302,0.00019,79.80048,2.03869,0.17463,0.00729,0.19077,0.11073,0.94921,0.01225,0.86289,0.12168,100.08995,70.73756,-125.50342,116.4074,7.21067,6.85049,0.54251,0.25025,0.9958,4.71041,0.07582,2.12075,0.06849,0.37035,0.01196,2.52357,0.02341,1.16408,0.0108,9.43714,0.18716,1.77209,0.02422
TIC 219738202,6904,0.57879,0.0001,79.61798,2.80256,0.26537,0.02405,0.5387,0.15804,0.97186,0.0499,0.81243,0.12173,53.98545,42.60045,-172.77382,19.72091,21.05143,9.07036,0.52717,0.30323,0.9908,3.80278,0.02981,1.66545,0.05326,0.44196,0.01413,1.97222,0.01886,1.13443,0.01085,7.43059,0.29205,2.1709,0.03487
TIC 233233639,7213,0.44051,0.0001,80.84404,0.90927,0.10707,0.00177,0.17726,0.04191,0.91776,0.00784,0.80691,0.05006,164.83848,4.70788,-336.61059,3.39839,43.03443,5.79451,0.58014,0.21604,0.9977,3.03486,0.06188,1.70104,0.06139,0.18213,0.00657,1.72897,0.03039,0.64385,0.01132,7.02406,0.17053,0.68488,0.00517
TIC 233636431,6896,0.42726,9.00E-05,83.45809,0.30997,0.24372,0.00185,0.24887,0.0148,0.99724,0.00297,0.7671,0.09041,165.68663,62.43732,-301.03891,20.15331,21.01855,15.7694,0.51834,0.2787,0.9989,2.93357,0.05968,1.38898,0.10284,0.33852,0.02506,1.52748,0.00669,0.82129,0.0036,4.75824,0.02698,1.30773,0.0087
TIC 237130278,7080,0.41314,7.00E-05,76.49042,0.23408,0.14451,0.00111,0.51165,0.02127,0.99726,0.00365,0.8489,0.1318,151.98695,21.96489,-338.48824,41.93553,7.1377,5.93437,0.5693,0.25089,0.9952,2.82289,0.07864,1.54417,0.02359,0.22315,0.00341,1.65492,0.03051,0.72932,0.01345,5.87126,0.06968,1.07595,0.05588
TIC 240911239,5760,0.41255,9.00E-05,83.09199,0.46088,0.25227,0.00277,0.27285,0.01948,1.00614,0.00264,0.87479,0.1269,148.38086,28.24224,-275.66777,155.12516,9.54873,7.99119,0.51679,0.28284,0.9874,2.80892,0.07954,1.27483,0.07761,0.3216,0.01958,1.41697,0.0181,0.77551,0.00991,1.98982,0.06254,0.58845,0.00935
TIC 250114673,6200,0.32881,8.00E-05,72.26498,0.12937,0.0929,0.0006,0.49664,0.01808,1.00862,0.00162,0.79038,0.03571,132.9311,7.89576,-53.38821,2.88187,16.72963,3.44097,0.59948,0.21803,0.9991,2.39308,0.01831,1.51458,0.03468,0.1407,0.00322,1.44632,0.00519,0.52603,0.00189,2.74278,0.01475,0.37874,0.00183
TIC 250203533,5733,0.37458,0.00012,80.94147,0.1573,0.16683,0.00061,0.43832,0.00901,1.02768,0.00158,0.69428,0.07259,169.86387,2.24566,-172.97043,3.29085,26.10085,1.83911,0.55607,0.25865,0.9995,2.62371,0.03529,1.48307,0.05122,0.24742,0.00855,1.50239,0.01555,0.69882,0.00723,2.08856,0.02526,0.53584,0.00274
TIC 255682622,6103,0.32159,0.00018,77.94336,1.06783,0.0816,0.00315,0.67447,0.07542,1.07979,0.00612,0.93701,0.02964,106.36774,4.50672,-291.93802,2.44121,25.37954,6.5837,0.61279,0.2152,0.9931,2.32038,0.03982,1.46255,0.05809,0.11934,0.00474,1.44712,0.019,0.5082,0.00667,2.37914,0.11165,0.43487,0.00705
TIC 256797617,4934,0.25073,5.00E-05,88.72113,0.99722,0.30253,0.00806,0.32878,0.04623,1.03287,0.01096,0.6503,0.04927,10.74621,5.58816,-1.70613,1.81872,45.23594,5.60923,0.50543,0.30135,0.9939,1.89271,0.04677,0.9894,0.02383,0.29932,0.00721,0.95828,0.01464,0.57135,0.00873,0.46054,0.01485,0.19675,0.00506
TIC 257525627,6563,0.45664,0.00011,79.307,0.35558,0.19651,0.00173,0.59895,0.01998,1.00738,0.00293,0.83884,0.13454,27.31805,32.04803,-38.59579,152.79172,4.75551,4.68922,0.5514,0.28035,0.9878,3.0462,0.05278,1.52903,0.06073,0.30047,0.01193,1.66847,0.01605,0.8483,0.00816,4.49206,0.09241,1.29529,0.02113
TIC 14545690,5883,0.28008,5.00E-05,70.96418,0.48451,0.0801,0.00397,0.40666,0.05789,1.10578,0.014,0.82245,0.02761,77.78307,4.37905,-353.60104,0.87568,17.25068,1.4426,0.60719,0.20516,0.9858,2.07109,0.09657,1.01507,0.30137,0.08131,0.02414,1.23389,0.04334,0.41691,0.01464,1.79964,0.12668,0.24868,0.0082
TIC 146520491,6484,0.44865,0.00011,75.15694,0.14091,0.13501,0.00133,0.32988,0.01582,1.00108,0.00293,0.69119,0.07606,118.20773,12.44302,-317.66657,7.61877,7.59219,1.80962,0.56763,0.23787,0.9968,3.07517,0.08967,1.54033,0.11824,0.20796,0.01596,1.709,0.03371,0.71617,0.01413,4.87705,0.06865,0.78376,0.02102
TIC 151233402,6604,0.80832,0.00025,80.32004,0.19717,0.29642,0.00201,0.54311,0.01841,0.97298,0.00516,0.92011,0.03776,87.10945,14.83265,-177.50711,3.65434,20.6558,4.09496,0.51954,0.31359,0.9866,5.15343,0.07713,2.022,0.03472,0.59936,0.01029,2.76045,0.02572,1.66619,0.01552,12.7178,0.21834,4.19215,0.09016
TIC 156379866,6977,0.40684,0.00012,76.96742,0.40566,0.14267,0.00269,0.54342,0.03211,0.998,0.00416,0.93348,0.07365,7.98705,14.25301,-277.87955,90.17704,14.21212,14.57456,0.57139,0.25133,0.982,2.74074,0.07854,1.45201,0.0771,0.20716,0.011,1.63136,0.02587,0.71757,0.01138,5.25076,0.2258,1.07558,0.01685
TIC 157175641,6138,0.37018,0.00021,83.57512,0.08477,0.31864,0.00068,0.2181,0.00772,1.02745,0.00112,0.86236,0.02687,30.81107,15.25906,-177.83305,2.60731,18.37076,4.26996,0.49486,0.29862,0.9992,2.62991,0.0602,1.25704,0.1143,0.40054,0.03642,1.30019,0.03602,0.78459,0.02174,2.19226,0.08297,0.78403,0.03287
TIC 159102550,6974,0.48823,9.00E-05,78.5574,0.3335,0.2204,0.00278,0.14287,0.0174,0.95635,0.0074,0.8051,0.06607,72.64296,17.58978,-338.6344,9.09068,9.87154,1.1661,0.52147,0.26508,0.9996,3.28919,0.03608,1.77862,0.02546,0.39201,0.00561,1.72731,0.00464,0.87805,0.00236,6.23776,0.02407,1.34414,0.00633
TIC 164720673,6294,0.36611,0.0001,77.22363,1.19697,0.12071,0.00372,0.5648,0.11042,1.04586,0.00652,0.92754,0.04082,148.13214,80.2627,-290.35977,96.72841,29.07891,9.80184,0.58371,0.23946,0.9891,2.6078,0.0347,1.66603,0.07426,0.20111,0.00896,1.49757,0.00944,0.61436,0.00387,3.1276,0.02392,0.62411,0.00382
TIC 170676440,6907,0.63441,0.00012,85.53269,3.36881,0.22929,0.00773,0.28859,0.19957,0.86965,0.03839,0.79635,0.10765,61.13107,21.33448,-311.26632,60.82149,23.57634,11.97237,0.52517,0.27606,0.9981,4.13886,0.04801,1.86984,0.036,0.42873,0.00825,2.09442,0.03167,1.10095,0.01665,8.33763,0.28059,1.48172,0.06703
TIC 17563811,6277,0.36101,0.00018,82.22389,0.90444,0.09941,0.00185,0.63754,0.0551,1.03672,0.00889,0.81423,0.11651,29.02228,67.7615,-112.94729,112.06976,12.44088,8.8693,0.59902,0.22795,0.988,2.4943,0.04936,1.47158,0.03552,0.14629,0.00353,1.48733,0.02196,0.56598,0.00836,3.04496,0.05452,0.49627,0.01398
TIC 177258700,7146,0.68813,0.00013,82.49063,0.2722,0.25335,0.00122,0.4698,0.01832,0.96162,0.00338,0.89151,0.03092,151.05518,23.24059,-202.52414,4.03355,33.35093,11.44295,0.52677,0.29486,0.9882,4.42833,0.09026,2.27208,0.28324,0.57563,0.07176,2.37983,0.03777,1.33211,0.02114,12.17189,0.13834,3.43348,0.05034
TIC 193819456,5938,0.35009,8.00E-05,76.61423,0.3124,0.14731,0.00178,0.41878,0.02609,1.01257,0.00277,0.82806,0.09687,133.85416,17.82046,-316.669,6.81008,15.86944,5.36873,0.56442,0.24817,0.9874,2.4427,0.03854,1.50616,0.07778,0.22187,0.01146,1.43046,0.0239,0.62896,0.01051,2.4826,0.07103,0.47715,0.01872
TIC 193823999,6591,0.36979,0.00012,85.60922,1.04073,0.22347,0.00194,0.275,0.02199,1.02322,0.0028,0.7079,0.09625,116.17539,21.96123,-88.65684,6.10533,9.73304,2.58468,0.52655,0.27327,0.9976,2.66928,0.03271,1.59223,0.03554,0.35582,0.00794,1.35653,0.01379,0.70402,0.00716,2.9936,0.08,0.86124,0.00811
TIC 458490358,6529,0.38081,0.00015,79.20255,0.37109,0.17814,0.00249,0.49519,0.02712,1.0198,0.0071,0.8898,0.06671,160.96261,18.23766,-322.55583,9.06303,42.50257,5.80883,0.55369,0.26668,0.9938,2.65724,0.07761,1.33892,0.09284,0.23851,0.01654,1.3888,0.01929,0.6689,0.00929,3.1049,0.08248,0.79291,0.01273
TIC 47751440,6692,0.79804,0.00012,84.07804,3.90747,0.11197,0.0073,0.20144,0.13484,0.85655,0.01966,0.86066,0.04818,29.21663,40.28569,-342.48033,171.08036,32.46187,2.17658,0.57749,0.21986,0.9948,4.93001,0.04958,2.15286,0.04276,0.24106,0.00479,2.80322,0.02074,1.06723,0.0079,13.55865,0.33849,1.06307,0.01426
TIC 49214115,6904,0.9009,0.00016,79.81636,0.4481,0.16355,0.00225,0.65875,0.03698,1.00471,0.00316,0.92629,0.05307,50.53351,35.51989,-281.10193,9.77994,15.84072,5.44846,0.56658,0.26791,0.9891,5.59027,0.05458,2.33983,0.08721,0.38268,0.01426,3.17215,0.02806,1.49997,0.01327,19.74157,0.24345,4.58553,0.03692
TIC 53603189,6415,0.41863,0.00028,83.31626,0.30133,0.14225,0.0008,0.66363,0.01304,1.02886,0.00174,0.60815,0.08169,87.20506,7.83192,-75.4407,2.95075,5.66681,1.07469,0.57614,0.25664,0.9988,2.78715,0.08392,1.5727,0.0844,0.22372,0.01201,1.56915,0.02588,0.69897,0.01153,3.14347,0.16776,0.82521,0.02151
TIC 55007847,7596,0.61176,0.00069,77.12542,0.46452,0.0856,0.00111,0.4426,0.0414,0.94422,0.00621,0.78815,0.06589,13.9302,4.79542,-208.03063,4.27657,17.95087,4.49041,0.60359,0.21066,0.9987,3.92378,0.085,2.17942,0.08563,0.18656,0.00733,2.43177,0.03687,0.84872,0.01287,17.04193,0.3646,1.6585,0.00991
TIC 55753802,6610,0.41547,0.00024,78.9768,0.45521,0.19773,0.00437,0.50955,0.04193,1.00588,0.00741,0.95793,0.05356,126.86213,64.12458,-322.84073,7.929,32.44164,5.42984,0.54681,0.27602,0.9997,2.82264,0.07924,1.34913,0.14304,0.26676,0.02828,1.52615,0.03688,0.77037,0.01862,3.65011,0.3,0.92269,0.07773
TIC 56001210,6177,0.37885,8.00E-05,85.25913,0.7933,0.22693,0.00238,0.27061,0.02204,1.02628,0.00276,0.92753,0.05839,18.81948,15.28194,-265.67383,13.04373,22.98912,9.53937,0.52512,0.27424,0.9995,2.64016,0.03549,1.38709,0.07467,0.31477,0.01695,1.35509,0.02187,0.70769,0.01142,2.2224,0.11095,0.71301,0.01819
TIC 5674169,5874,0.31813,0.00011,84.75729,0.77147,0.19868,0.00272,0.47317,0.03089,1.02956,0.00296,0.78431,0.09746,123.67787,23.84774,-63.66483,6.86235,13.41016,5.57115,0.54479,0.27446,0.9819,2.32996,0.06412,1.87513,0.23535,0.37255,0.04676,1.20018,0.02103,0.60464,0.01059,1.49305,0.023,0.47099,0.014
TIC 57297550,7038,0.38217,0.00022,81.82466,11.44067,0.06889,0.11371,0.93087,0.22719,1.02327,0.08569,0.86055,0.0494,130.13612,33.27565,-179.86061,2.90911,19.59396,2.64229,0.62941,0.21196,0.9969,2.69706,0.08653,1.5739,0.09819,0.10843,0.00676,1.55923,0.08608,0.52508,0.02899,6.96259,1.46909,0.77787,0.02887
TIC 627436,7664,0.57877,0.00012,83.87242,0.52108,0.25008,0.00202,0.56343,0.02569,0.976,0.00593,0.86244,0.06585,39.58124,16.53754,-220.67241,7.41393,17.51126,4.76287,0.53274,0.29945,0.9988,3.76799,0.08957,1.77501,0.08472,0.4439,0.02119,2.05932,0.04454,1.15753,0.02503,12.82176,0.46822,3.68605,0.15846
TIC 63307143,7148,0.64526,0.00017,78.18467,0.22954,0.15366,0.00091,0.27786,0.0161,0.97069,0.00329,0.84675,0.05312,19.61891,5.67159,-140.31847,2.61864,19.80909,3.92816,0.55594,0.24496,0.9822,4.114,0.06867,2.0465,0.01729,0.31446,0.00266,2.20245,0.0503,0.97045,0.02216,11.33991,0.23893,2.07054,0.05591
TIC 63597006,6613,0.70076,0.00079,77.55781,0.14215,0.14155,0.00058,0.14487,0.00867,0.96652,0.00151,0.95352,0.02148,89.42499,17.81428,-117.18856,3.62144,11.55927,3.42121,0.5575,0.23335,0.9981,4.52263,0.12466,2.14337,0.10248,0.30339,0.01451,2.47465,0.07424,1.0358,0.03107,9.38837,0.64655,1.49112,0.05798
TIC 66473439,6694,0.48656,0.00012,75.10925,0.13301,0.0913,0.00183,0.18392,0.02879,0.93002,0.00682,0.79496,0.07251,74.04812,6.50814,-321.33627,4.76494,9.87003,1.41541,0.59219,0.20615,0.9893,3.21435,0.05537,1.71094,0.05456,0.15621,0.00498,1.89418,0.04449,0.65939,0.01549,6.13245,0.23762,0.58297,0.02602
TIC 671564,5607,0.38573,0.00018,81.63704,0.44327,0.16031,0.0025,0.66816,0.03098,1.0548,0.00641,0.85951,0.05997,164.8467,5.92571,-98.89298,90.24178,39.33092,17.51388,0.56832,0.26671,0.9949,2.72899,0.0196,1.56441,0.01953,0.25079,0.00313,1.5551,0.01107,0.7298,0.0052,2.11874,0.00935,0.56104,0.00934
TIC 69838619,6984,0.38346,7.00E-05,82.72547,1.64592,0.10592,0.00415,0.80218,0.09723,1.00949,0.00863,0.91496,0.09686,24.90822,79.06721,-171.14681,83.03775,16.36617,15.7841,0.60001,0.23926,0.998,2.68121,0.04545,1.55983,0.0642,0.16522,0.0068,1.56058,0.03676,0.6223,0.01466,5.30414,0.08075,0.84454,0.0381
TIC 76305215,6469,0.40159,0.00013,85.11644,0.36903,0.26514,0.00311,0.14348,0.00955,0.98859,0.00375,0.73259,0.09804,177.51619,4.00674,-54.42125,111.3321,20.19852,9.59902,0.50607,0.27928,0.9874,2.74025,0.0759,1.69866,0.20806,0.45038,0.05516,1.33643,0.02436,0.73752,0.01345,2.87859,0.05738,0.76532,0.02525
TIC 77178193,6787,0.82929,0.00014,78.77008,10.30108,0.07488,0.07646,0.47487,0.08779,1.00003,0.05263,0.73302,0.08726,28.12939,16.3114,-353.50117,36.45857,9.18316,5.92155,0.61337,0.20298,0.9957,5.22127,0.04119,2.53125,0.01085,0.18954,0.00081,3.24191,0.03448,1.07283,0.01141,19.39277,0.48082,2.33127,0.04921
TIC 87751538,7165,0.9148,0.00016,73.48361,0.60668,0.10582,0.00209,0.53322,0.02471,0.95588,0.01558,0.76695,0.0576,158.04042,42.48153,-265.97914,4.20885,36.39769,10.31151,0.59169,0.22852,0.9782,5.57432,0.08228,2.55962,0.10031,0.27086,0.01061,3.27767,0.03588,1.26589,0.01386,25.12817,0.67338,2.93083,0.08367
TIC 89428764,6541,0.3765,0.0001,76.43918,0.25727,0.13559,0.0014,0.31849,0.02235,0.99479,0.00219,0.82108,0.12276,161.9674,17.23556,-22.45862,102.11301,6.96758,7.2108,0.56692,0.23769,0.9994,2.61581,0.04401,1.59411,0.05581,0.21615,0.00757,1.55591,0.04071,0.65234,0.01707,3.73973,0.15545,0.64827,0.0167
TIC 8989778,8165,0.61243,0.00037,75.15853,2.10505,0.17818,0.02954,0.38609,0.03159,0.95786,0.00679,0.89923,0.06699,128.33556,35.23031,-245.38486,111.87959,25.37719,5.06485,0.54902,0.26124,0.988,4.0307,0.04933,2.08488,0.06251,0.37148,0.01114,2.21488,0.00937,1.05391,0.00446,19.48173,0.08832,3.70691,0.02345
TIC 93053299,5954,0.41125,0.0001,76.7059,0.49377,0.12639,0.00219,0.52455,0.0421,1.01952,0.00308,0.81654,0.13793,101.73177,59.78654,-81.7312,60.91189,5.2027,4.20154,0.57917,0.24123,0.997,2.77546,0.10679,1.48132,0.14247,0.18722,0.01801,1.58429,0.02161,0.65987,0.009,2.85942,0.07362,0.539,0.00748
TIC 97328396,5935,0.4852,0.00012,86.34404,0.46941,0.29085,0.00184,0.50235,0.01021,1.01575,0.00183,0.8383,0.06084,42.04931,17.82908,-298.16003,6.99628,12.03159,3.16058,0.51849,0.30915,0.9932,3.20998,0.08532,1.60436,0.07497,0.46663,0.02181,1.58482,0.02002,0.94495,0.01194,2.69585,0.10282,1.11062,0.01649
